O,D,Ton
2,3,2500
2,4,2500
2,11,5000
2,12,2500
2,13,5000
2,19,5000
2,21,5000
2,22,2500
2,23,2500
2,24,5000
3,2,2500
3,7,2500
3,10,5000
3,14,5000
3,17,2500
3,18,2500
3,19,5000
3,21,5000
3,22,2500
3,24,5000
4,2,5000
4,7,2500
4,10,5000
4,14,5000
4,17,2500
4,18,2500
4,19,5000
4,21,5000
4,22,2500
4,24,5000
12,2,5000
12,6,2500
12,7,2500
12,8,2500
12,14,5000
12,19,5000
12,20,5000
12,21,5000
12,22,2500
12,24,5000
14,2,5000
14,3,5000
14,6,5000
14,7,2500
14,8,5000
14,9,5000
14,16,2500
14,17,5000
14,18,2500
14,20,5000
21,1,5000
21,2,5000
21,3,2500
21,4,5000
21,6,2500
21,7,2500
21,8,5000
21,12,5000
21,16,5000
21,18,5000
22,1,5000
22,2,5000
22,3,2500
22,4,5000
22,6,2500
22,7,2500
22,8,5000
22,12,5000
22,16,5000
22,18,5000
24,1,5000
24,2,5000
24,3,5000
24,4,5000
24,6,5000
24,7,2500
24,10,2500
24,17,2500
24,18,2500
24,19,2500
